sheet,table_title,x0,top,x1,bot,provenance
12_MT_MSU_ReidHall_Renovation.pdf#11,SINGLE-PLATE SHEAR CONNECTION SCHEDULE,1941.7,59.2,2270.0,266.0,"verified by eye, whole-sheet overlay @0.8x (~4pt)"
12_MT_MSU_ReidHall_Renovation.pdf#11,STEEL COL. BASE PLATE SCHEDULE,1270.0,632.3,1530.8,859.9,"verified by eye, whole-sheet overlay @0.8x (~4pt)"
12_MT_MSU_ReidHall_Renovation.pdf#11,STEEL DECK SCHEDULE,697.1,1207.4,1219.0,1340.9,"verified by eye, whole-sheet overlay @0.8x (~4pt)"
12_MT_MSU_ReidHall_Renovation.pdf#25,DOOR SCHEDULE,191.9,1112.5,1352.5,1306.2,"verified by eye, whole-sheet overlay @0.8x (~4pt)"
12_MT_MSU_ReidHall_Renovation.pdf#25,SIGNAGE SCHEDULE,925.7,1367.3,1825.4,1558.3,"verified by eye, whole-sheet overlay @0.8x (~4pt)"
12_MT_MSU_ReidHall_Renovation.pdf#25,WINDOW SCHEDULE,209.9,90.0,960.7,256.8,"verified by eye, whole-sheet overlay @0.8x (~4pt)"
12_MT_MSU_ReidHall_Renovation.pdf,GENERAL,1188.81,126.69,1530.56,251.19,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.09pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
12_MT_MSU_ReidHall_Renovation.pdf,DRAWN BY: MV,2421.56,1118.19,2567.69,1238.44,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.09pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
12_MT_MSU_ReidHall_Renovation.pdf#4,DRAWN BY: MV,2421.56,1118.19,2567.69,1238.44,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.09pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
12_MT_MSU_ReidHall_Renovation.pdf#6,STRUCTURAL SHEET ORGANIZATION,1423.94,65.56,1990.56,326.44,"deterministic ruled-line pixel detection @ threshold 0.7, worst-edge agreement 0.12pt vs vectorgrid's own box [B-40 CORRECTED 2026-09-13: original rulelinebox.py measurement was written in RENDER_SCALE=2 units instead of raw PDF points (2x too large); halved to match this file's own established convention -- see TAKEOFF_BUG_CATALOGUE.md]"
